numero;categoria;tema;question;answer1;answer2;answer3;answer4;solution;feedback
56;Conocimientos Generales;Ley Régimen Jurídico Sector Público;De los órganos administrativos. ¿Cómo podrán dirigir actividades de sus órganos jerárquicamente dependientes?;Mediante recomendaciones;Mediante directrices;Mediante instrucciones y órdenes de servicio;Mediante indicadas en b) y c);3;La respuesta correcta es la c, puesto que los órganos administrativos dirigen a sus dependientes jerárquicos mediante instrucciones y órdenes de servicio. Las opciones a, b y d no son los instrumentos formales definidos en el Artículo 6 de la Ley 40/2015.
57;Conocimientos Generales;Ley Régimen Jurídico Sector Público;Encomienda de gestión. Señale opción INCORRECTA.;Realización de actividades de carácter material o técnico de competencia de órgano encomendante;Será responsable órgano o Entidad encomendante frente a otras Administraciones y terceros, incluidas resoluciones de carácter jurídico;Encomienda podrá incluir ejercicio de potestades que impliquen ejercicio de autoridad, como adopción de resoluciones de carácter jurídico;Entidad u órgano encomendado tendrá condición de encargado del tratamiento de datos de carácter personal;1;"La respuesta correcta es la a, porque es la proposición incorrecta al sugerir que la encomienda puede hacerse a entidades privadas bajo este régimen; se realiza entre órganos o entidades públicas. Las opciones b, c y d son correctas sobre la responsabilidad de los actos, la no cesión de titularidad y la protección de datos."
58;Conocimientos Generales;Ley Régimen Jurídico Sector Público;¿Cuál de las siguientes circunstancias NO es motivo por el que tengan que abstenerse autoridades y personal al servicio de Administraciones de intervenir en procedimiento?;Haber prestado en dos últimos años servicios profesionales de cualquier tipo y en cualquier circunstancia a persona natural o jurídica interesada directamente;Tener enemistad manifiesta con representantes legales que intervengan en procedimiento;Ser administrador de sociedad o entidad interesada, o tener cuestión litigiosa pendiente con algún interesado;Tener parentesco de consanguinidad dentro cuarto grado, o de afinidad dentro segundo grado, con administradores de entidades o sociedades interesadas;4;La respuesta correcta es la d, ya que es la proposición que NO constituye un motivo de abstención general bajo el cuarto grado de parentesco con los administradores de sociedades. Las opciones a, b y c sí son motivos tasados: servicios profesionales recientes, enemistad o ser administrador interesado.
59;Conocimientos Generales;LO protección de datos personales;¿Quién aprobará el Estatuto de la Agencia Española de Protección de Datos?;La propia Agencia;El Gobierno;El Ministro de la Presidencia, Justicia y Relaciones con las Cortes;El Consejo General del Poder Judicial;2;La respuesta correcta es la b, pues el Gobierno es la autoridad encargada de aprobar el Estatuto de la Agencia Española de Protección de Datos. Las opciones a, c y d son incorrectas al proponer que la aprobación sea de la propia Agencia, un ministro o el CGPJ.
60;Conocimientos Generales;LO Protección de Datos;Consejo Consultivo de Agencia Española de Protección de Datos. Señale opción INCORRECTA.;Consejo Consultivo estará compuesto entre otros por representante designado por CGPJ;Condición de experto de miembro del Consejo requerirá acreditar conocimientos genéricos en Derecho y práctica en materia de protección de datos;Presidencia de Agencia estará asesorada por Consejo Consultivo;Consejo Consultivo estará compuesto entre otros por experto propuesto por Conferencia de Rectores de Universidades Españolas;2;"La respuesta correcta es la b, puesto que es la proposición incorrecta; para ser miembro del Consejo Consultivo se requiere acreditar conocimientos especializados, no simplemente 'genéricos'. Las opciones a, c y d reflejan correctamente la composición y función asesora de dicho Consejo."
61;Conocimientos Generales;LO derechos y libertades extranjeros;Infracciones en materia de extranjería. Proposición INCORRECTA.;Omisión en comunicación a autoridades de cambios de nacionalidad, estado civil o domicilio, constituye infracción leve;Salidas territorio por puestos no habilitados, sin exhibir documentación o contraviniendo prohibiciones, constituye infracción grave;Consentir inscripción de extranjero en Padrón Municipal por titular de vivienda cuando no constituya domicilio real, constituye infracción muy grave;Encontrarse trabajando sin haber solicitado autorización para trabajar por cuenta propia, cuando cuente con autorización de residencia temporal, constituye infracción leve;3;"La respuesta correcta es la c, ya que es la proposición incorrecta al calificar como 'muy grave' la inscripción indebida en el padrón; en realidad constituye una infracción grave. Las opciones a, b y d clasifican correctamente otras infracciones como leves o graves según la Ley de Extranjería."
62;Conocimientos Generales;RD entrada y residencia en España ciudadanos UE;Expedición tarjeta de residencia de familiar de ciudadano de la UE. La expedición deberá realizarse en plazo _____ a presentación solicitud.;De los tres meses siguientes;De los veinte días hábiles siguientes;De los seis meses siguientes;De los quince días hábiles siguientes;1;La respuesta correcta es la a, debido a que la expedición de la tarjeta de residencia de familiar de ciudadano de la Unión debe realizarse en los tres meses siguientes a la solicitud. Las opciones b, c y d proponen plazos de días hábiles o seis meses que no corresponden a esta tarjeta específica.
63;Conocimientos Generales;RD Entrada y residencia ciudadanos UE;Salvo motivos imperiosos de seguridad pública, NO podrá adoptarse decisión de expulsión o repatriación respecto a citados ciudadanos...;Si hubieran residido en España durante período ininterrumpido de 5 años;Si fuera menor de edad, salvo si repatriación es conforme al interés superior del menor;Si hubieran residido en España durante 5 años anteriores;Son correctas las opciones a) y b);2;La respuesta correcta es la b, puesto que, salvo seguridad pública imperiosa, no se puede expulsar a ciudadanos de la Unión si son menores de edad, salvo por su interés superior. Las opciones a, c y d son incorrectas al omitir o confundir los supuestos de protección reforzada por residencia o minoría de edad.
64;Conocimientos Generales;LO protección seguridad ciudadana;Constituye uno de los fines de esta Ley, la protección de personas y bienes, con especial atención a...;Autoridades y miembros de Fuerzas y Cuerpos de Seguridad;Menores y personas con discapacidad necesitadas de especial protección;Víctimas del terrorismo;Personas vulnerables por situación social o económica;2;La respuesta correcta es la b, ya que la Ley de Seguridad Ciudadana destaca la protección de menores y personas con discapacidad necesitadas de especial protección como fin prioritario. Las opciones a, c y d mencionan otros colectivos que no figuran con ese énfasis específico en el Artículo 3.
65;Conocimientos Generales;LO protección seguridad ciudadana;Medidas de seguridad extraordinarias. Señale opción INCORRECTA.;Entre ellas se encuentra entrada y registro en domicilios;Podrán adoptarse en determinados casos incluso mediante órdenes verbales;Podrán adoptarse en situaciones de emergencia que las hagan imprescindibles;Podrán adoptarse durante tiempo estrictamente necesario para garantizar seguridad ciudadana;1;"La respuesta correcta es la a, porque es la proposición incorrecta; la entrada y registro en domicilios requiere autorización judicial o flagrante delito, no es una medida extraordinaria general de esta ley. Las opciones b, c y d son correctas al permitir órdenes verbales en emergencias y limitar su duración al tiempo estrictamente necesario."
66;Conocimientos Generales;LO protección seguridad ciudadana;Régimen sancionador. ¿Quién es competente en AGE para sanción de infracciones muy graves en grado máximo?;El Consejo de Ministros;El Ministro del Interior;El Secretario de Estado de Seguridad;Los Delegados de Gobierno en las CCAA;2;La respuesta correcta es la b, pues el Ministro del Interior es el competente en la AGE para sancionar las infracciones muy graves en grado máximo. Las opciones a, c y d atribuyen esta competencia al Consejo de Ministros, al Secretario de Estado o a los Delegados del Gobierno de forma errónea.
67;Conocimientos Generales;Ley Seguridad Privada;¿Para qué casos especifica la ley que se podrá incrementar reglamentariamente la exigencia formativa al personal de seguridad privada?;Para servicios en los que se empleen armas de fuego;Para servicios que se presten en espacios públicos;Para servicios en empresas públicas;Para prestación de servicios en infraestructuras críticas;4;La respuesta correcta es la d, ya que se puede incrementar la exigencia formativa para el personal de seguridad privada que preste servicios en infraestructuras críticas. Las opciones a, b y c no son los supuestos específicos contemplados en la ley para este aumento reglamentario de la formación.
68;Conocimientos Generales;Ley Seguridad Privada;¿Cuál es uno de requisitos generales exigidos para obtención de habilitación profesional?;Tener nacionalidad española;Carecer de antecedentes penales por cualquier delito;No haber sido sancionado en dos o cuatro años anteriores por infracción grave o muy grave en materia de seguridad privada;No haber sido separado del servicio en Fuerzas y Cuerpos de Seguridad en cinco años anteriores;3;La respuesta correcta es la c, puesto que carecer de antecedentes penales por cualquier delito es un requisito general para la habilitación en seguridad privada. Las opciones a, b y d proponen requisitos parciales o plazos de sanción y separación que no definen el requisito general de antecedentes solicitado.
69;Conocimientos Generales;RD estructura orgánica Ministerio del Interior;¿Dentro de estructura de qué órgano está integrada la Secretaría General de Instituciones Penitenciarias?;De la Secretaría de Estado de Seguridad;De la Subsecretaría del Interior;De la Secretaría General Técnica;Del Ministerio del Interior directamente;4;La respuesta correcta es la d, debido a que la Secretaría General de Instituciones Penitenciarias depende directamente del Ministerio del Interior. Las opciones a, b y c la sitúan erróneamente bajo la Secretaría de Estado de Seguridad, la Subsecretaría o la Secretaría General Técnica.
70;Conocimientos Generales;RD estructura orgánica Ministerio Defensa;¿Quién ejercerá sobre Unidad Militar de Emergencias las competencias en supuestos de conducción de operaciones militares?;El Jefe de Estado Mayor de la Defensa;El Secretario de Estado de Defensa;La persona titular del Departamento;El Jefe del Estado Mayor del Ejército de Tierra;1;La respuesta correcta es la a, ya que el Jefe de Estado Mayor de la Defensa ejerce competencias sobre la UME en la conducción de operaciones de seguridad y defensa de España. Las opciones b, c y d atribuyen estas funciones al Secretario de Estado, al titular del departamento o al Jefe del Ejército de Tierra de forma incorrecta.
71;Conocimientos Generales;RD estructura orgánica Ministerio Defensa;¿A qué órgano le corresponde planificación y desarrollo de política industrial de Defensa?;A Dirección General de Estrategia e Innovación de la Industria de Defensa;A Dirección General de Armamento y Material;A Dirección General de Infraestructura;Al Centro de Sistemas y Tecnologías de la Información y las Comunicaciones;1;La respuesta correcta es la a, pues la planificación de la política industrial de Defensa corresponde a la Dirección General de Estrategia e Innovación de la Industria de Defensa. Las opciones b, c y d son incorrectas al mencionar las direcciones de armamento, infraestructura o el centro de tecnologías de información.
72;Conocimientos Generales;LO Fuerzas y Cuerpos de Seguridad;Al objeto de conseguir óptima utilización de medios, ¿quién podrá ordenar que CNP o GC asuma todas o algunas funciones exclusivas asignadas al otro Cuerpo?;El Delegado del Gobierno en la CCAA;El Secretario de Estado de Seguridad;El Ministerio del Interior;El Consejo de Política de Seguridad;3;La respuesta correcta es la c, debido a que el Ministerio del Interior tiene la facultad de ordenar que un cuerpo asuma funciones exclusivas de otro en determinadas zonas. Las opciones a, b y d proponen al Delegado del Gobierno, al Secretario de Estado o al Consejo de Política de Seguridad sin tener esta potestad.
73;Conocimientos Generales;LO Fuerzas y Cuerpos de Seguridad - Guardia Civil;¿A quién corresponde disponer todo lo referente a selección, formación y perfeccionamiento?;Al Ministro del Interior;Al Ministro de Defensa;Conjuntamente a Ministros de Defensa e Interior;Al Consejo de Ministros;3;La respuesta correcta es la c, puesto que la selección, formación y perfeccionamiento en la Guardia Civil corresponde conjuntamente a los Ministros de Defensa e Interior. Las opciones a, b y d omiten la competencia compartida necesaria por la naturaleza del Cuerpo.
74;Conocimientos Generales;Ley Régimen Personal Guardia Civil;De las funciones profesionales de los guardias civiles. Mediante _____ se aplican medios para alcanzar objetivos de forma más eficiente.;La acción directiva;Acciones de gestión;Acciones ejecutivas;La acción de mando;2;La respuesta correcta es la b, ya que la definición técnica de aplicar los medios para alcanzar objetivos eficientemente corresponde a las acciones de gestión. Las opciones a, c y d proponen la acción directiva, ejecutiva o de mando, que no encajan con la definición literal del enunciado.
75;Conocimientos Generales;Estructura orgánica Servicios Centrales DGGC;De la persona titular de la Dirección General dependen directamente los siguientes órganos:;Mando de Operaciones, Mando de Personal y Mando de Apoyo;Mando de Operaciones, Mando de Fronteras y Policía Marítima, Mando de Personal y Mando de Apoyo;Dirección Adjunta Operativa, Mando de Fronteras y Policía Marítima, Mando de Personal y Mando de Apoyo;Dirección Adjunta Operativa, Mando de Personal y Mando de Apoyo;4;La respuesta correcta es la d, pues de la Dirección General dependen directamente la DAO, el Mando de Personal y el Mando de Apoyo. Las opciones a, b y c incluyen mandos de operaciones o fronteras que tienen dependencias orgánicas distintas en el escalafón central.
76;Conocimientos Generales;Estructura orgánica Servicios Centrales DGGC;¿A qué órgano le corresponde coordinar estrategia de ciberseguridad y de Seguridad de información del Cuerpo?;A Jefatura de Transformación Digital y Ciberseguridad;A Jefatura de Información;A Jefatura de Policía Judicial;A Jefatura de Servicios Técnicos y de Ciberseguridad;1;La respuesta correcta es la a, puesto que coordinar la estrategia de ciberseguridad es función de la Jefatura de Transformación Digital y Ciberseguridad. Las opciones b, c y d se refieren a las jefaturas de Información, Policía Judicial o a una denominación técnica inexistente.
77;Conocimientos Generales;Historia de la Guardia Civil;Rescate durante tormenta en barranco de Bellver (Castellón), intervinieron guardias civiles Pedro Ortega y Antonio Gimeno. ¿Cuál afirmación es cierta?;Víctimas viajaban en carruaje y fallecieron los dos guardias civiles citados;No hubo víctimas mortales;Se produjo en 1950 y falleció uno de los guardias civiles citados;Los guardias rescataron a campesinos que trabajaban en el campo;1;La respuesta correcta es la a, debido a que en el servicio del barranco de Bellver fallecieron los guardias Pedro Ortega y Antonio Gimeno mientras rescataban a ocupantes de un carruaje. Las opciones b, c y d son falsas al negar las muertes, errar en la fecha o confundir a los rescatados con campesinos.
78;Conocimientos Generales;LO derechos y deberes miembros Guardia Civil;Presentación de Quejas. ¿En cuál de siguientes casos NO podrá presentar queja un guardia civil?;Cuando hubiese presentado recurso sobre mismo asunto;Cuando se refiera a su mando inmediato superior;Cuando sean relativas al régimen del personal;Cuando sean relativas a calidad de vida en las unidades;1;La respuesta correcta es la a, ya que un guardia civil no podrá presentar una queja si hubiese presentado recurso sobre el mismo asunto. Las opciones b, c y d son casos donde sí es legítimo presentar quejas sobre mandos, personal o calidad de vida.
79;Conocimientos Generales;Ley Sistema Nacional de Protección Civil;Definiciones. A los efectos de esta ley se entenderá por Vulnerabilidad...;Posibilidad de que amenaza llegue a afectar a colectivos de personas o a bienes;Potencial de ocasionar daño en determinadas situaciones a colectivos de personas o bienes;Característica de colectividad de personas o bienes que los hacen susceptibles de ser afectados;Situación en que personas y bienes están expuestos a peligro inminente o latente;3;La respuesta correcta es la c, pues la vulnerabilidad se define como la característica de personas o bienes que los hace susceptibles de ser afectados por un peligro. Las opciones a, b y d definen riesgo, amenaza o exposición en el marco de la Protección Civil.
80;Conocimientos Generales;Ley Sistema Nacional de Protección Civil;¿A propuesta de quién será aprobada la Estrategia Nacional de Protección Civil?;Del Consejo de Seguridad Nacional;Del Director General de Protección Civil y Emergencias;Del Ministro del Interior;Del Consejo Nacional de Protección Civil;3;La respuesta correcta es la c, puesto que la Estrategia Nacional de Protección Civil se aprueba a propuesta del Ministro del Interior. Las opciones a, b y d atribuyen la propuesta al Consejo de Seguridad Nacional, al Director General o al Consejo Nacional de Protección Civil.
81;Conocimientos Generales;Ley Patrimonio Natural y Biodiversidad;Definiciones. Territorios delimitados con formas geológicas únicas, de especial importancia científica, singularidad o belleza, representativos de historia evolutiva geológica...;Las reservas geológicas;Los paisajes geológicos;Las áreas geológicas protegidas;Los geoparques o parques geológicos;4;La respuesta correcta es la d, ya que los territorios con formas geológicas únicas representativas de la historia evolutiva se denominan geoparques. Las opciones a, b y c utilizan nombres que no son categorías oficiales según la Ley del Patrimonio Natural.
82;Conocimientos Generales;Ley Patrimonio Natural y Biodiversidad;¿Cuál es una de las categorías en que se clasifican los espacios naturales protegidos?;Áreas Marinas Ecológicas;Paisajes Naturales;Monumentos Naturales;Reservas Geológicas;3;La respuesta correcta es la c, debido a que los Monumentos Naturales son una de las categorías legales de clasificación de espacios protegidos. Las opciones a, b y d proponen nombres de áreas marinas o reservas que no figuran en la clasificación oficial.
83;Conocimientos Generales;Ley servicios electrónicos de confianza;Obligaciones y responsabilidad de prestadores. Señale opción INCORRECTA.;Prestadores de servicios de confianza no cualificados necesitarán verificación administrativa previa;Deberán comunicar su actividad al Ministerio para Transformación Digital en plazo de 3 meses;En mismo plazo, deberán comunicar modificación de datos y cese de actividad;Prestadores tienen obligación de tomar medidas para resolver incidentes de seguridad;1;"La respuesta correcta es la a, porque es la proposición incorrecta; los prestadores no cualificados no requieren verificación administrativa previa para su actividad. Las opciones b, c y d son correctas sobre plazos de comunicación ministerial y resolución de incidentes de seguridad."
84;Conocimientos Generales;Principios ciberseguridad CCN-CERT;Con respecto a los Bitcoins, señale opción CORRECTA.;Utilizan cadena de caracteres criptográficos que se intercambian a través de billeteras digitales (intercambios P2P);Cada transacción se registra en gran base de datos llamada 'BlackChain';Transacciones con bitcoins son seguras y no presentan riesgos de blanqueo o evasión;Bitcoin es moneda cifrada, centralizada, peer-to-peer donde control se realiza por usuarios;1;"La respuesta correcta es la a, ya que los bitcoins utilizan cadenas criptográficas intercambiadas mediante carteras digitales (wallets) entre usuarios. La opción b es falsa por el nombre de la base de datos; la c por los riesgos fiscales; y la d por afirmar que es una moneda centralizada."
85;Conocimientos Generales;RD Esquema Nacional de Interoperabilidad;Para garantizar interoperabilidad en materia de ciberseguridad y criptografía, el órgano competente será el Centro Criptológico Nacional adscrito a...;Centro Nacional de Inteligencia;Centro de Transferencia de Tecnología;Centro de interoperabilidad semántica de la Administración;Comité Sectorial de Administración Electrónica;1;La respuesta correcta es la a, puesto que el Centro Criptológico Nacional está adscrito al Centro Nacional de Inteligencia. Las opciones b, c y d yerran al situarlo bajo centros tecnológicos, de interoperabilidad o comités electrónicos.
86;Conocimientos Generales;Topografía;¿Cuál es la unidad de medida lineal definida como longitud recorrida en vacío por rayo de luz en 1/299792458 segundos?;El centímetro;El kilómetro;El metro;El hectómetro;3;La respuesta correcta es la c, pues el metro se define como la longitud recorrida en el vacío por un rayo de luz en el tiempo especificado. Las opciones a, b y d proponen otras unidades de medida que no definen el estándar lineal internacional.
87;Conocimientos Generales;Topografía;Con respecto a elementos geográficos, señale opción INCORRECTA.;Recibe nombre de plano meridiano, todo plano que contiene al eje terrestre;Se denominan paralelos a líneas de intersección con superficie terrestre de todo plano perpendicular al eje terrestre;Las longitudes se miden de 0° a 90° a uno y otro lado del meridiano de origen;Las coordenadas geográficas de un punto son la latitud y la longitud;3;"La respuesta correcta es la c, ya que es la proposición incorrecta; las longitudes se miden de 0 a 180 a ambos lados, no a 90. Las opciones a, b y d definen correctamente el plano meridiano, los paralelos y la latitud/longitud."
88;Conocimientos Generales;RD Código de Conducta personal Guardia Civil;De las siguientes opciones, ¿cuál NO se corresponde con lo dispuesto en Decálogo?;"El honor ha de ser mi principal divisa; debo conservarlo sin mancha. Una vez perdido, no se recobra jamás";Me comportaré siempre con mayor dignidad, como exigen Cuerpo y uniforme que visto;Actuar siempre con integridad y rectitud, será mi mayor recompensa;Fiel a mi deber, con actitud serena en peligro, seré prudente sin debilidad y firme sin violencia;3;La respuesta correcta es la c, debido a que la frase sobre 'integridad y rectitud' no forma parte del texto oficial del Decálogo de la Guardia Civil. Las opciones a, b y d son fragmentos literales del decálogo sobre honor, dignidad y firmeza.
89;Conocimientos Generales;Principios básicos empleo fuerza y armas;Señale la opción INCORRECTA.;Cuando empleo de armas sea inevitable, funcionarios notificarán lo sucedido en plazo máximo de 24 horas a parientes o amigos de personas heridas;En cualquier caso, sólo se podrá hacer uso intencional de armas letales cuando sea estrictamente inevitable para proteger una vida;Se hará cuidadosa evaluación de fabricación y distribución de armas no letales incapacitantes para reducir riesgo y se controlará cuidadosamente su uso;Los gobiernos adoptarán medidas necesarias para que en legislación se castigue como delito el empleo arbitrario o abusivo de fuerza o armas;1;"La respuesta correcta es la a, porque es la proposición incorrecta; las normas internacionales no fijan un plazo de 24 horas para notificar a parientes de heridos. Las opciones b, c y d reflejan correctamente los principios sobre uso de armas letales, no letales y castigo del uso abusivo."
90;Conocimientos Generales;LO responsabilidad penal menores;Tiempo máximo de medida cautelar de internamiento será de _____, y podrá prorrogarse a instancia de Ministerio Fiscal, previa audiencia del letrado, por otros _____ como máximo.;Tres meses / tres meses;Seis meses / tres meses;Tres meses / dos meses;Seis meses / seis meses;2;La respuesta correcta es la b, puesto que el tiempo máximo de internamiento cautelar para menores es de seis meses, prorrogable por otros tres meses. Las opciones a, c y d proponen plazos de tres o seis meses de prórroga que no coinciden con la ley.
91;Conocimientos Generales;LO Medidas Protección Integral Violencia de Género;¿Con qué periodicidad el Observatorio Estatal de Violencia sobre la Mujer remitirá al Gobierno y a las CCAA un informe?;Mensual;Trimestral;Anual;Bienal;3;La respuesta correcta es la c, ya que el Observatorio Estatal de Violencia sobre la Mujer remite su informe de evolución con periodicidad anual. Las opciones a, b y d proponen plazos mensuales, trimestrales o bienales que no se ajustan a la norma.
92;Conocimientos Generales;LO Medidas Protección Integral Violencia de Género;En composición del Observatorio Estatal de Violencia sobre Mujer se garantizará participación de...;Cualquiera de las organizaciones empresariales y sindicales;Las organizaciones de mujeres con implantación en todo territorio de una CCAA;Las asociaciones de consumidores y usuarios;Son correctas las opciones a) y c);3;La respuesta correcta es la c, debido a que se garantiza la participación de asociaciones de consumidores y usuarios en el Observatorio Estatal. Las opciones a y b mencionan organizaciones empresariales o de mujeres con requisitos territoriales que no son los únicos garantizados.
93;Conocimientos Generales;Reglamento de Armas - Definiciones;¿A qué arma de fuego nos referimos si en su ornamentación presenta peculiaridad distinta por materiales nobles empleados o diseño, que le confiere especial valor?;Arma artística;Arma antigua;Arma Flobert;Arma histórica;1;La respuesta correcta es la a, puesto que el arma artística se define por la peculiaridad de su ornamentación y el uso de materiales nobles. Las opciones b, c y d corresponden a armas antiguas, históricas o Flobert, definidas por cronología o sistema de tiro.
94;Conocimientos Generales;Reglamento de Armas - Envases y precintos;Los envases para comercio interior de armas de fuego...;Pueden contener cualquier número de armas, cuando ofrezcan suficientes garantías de seguridad;No pueden llevar armas cortas o largas de cañón estriado junto con escopetas de caza y asimiladas;Podrán contener 50 armas largas;No deben contener más de 20 armas cortas;2;La respuesta correcta es la b, ya que los envases de comercio no pueden contener armas cortas o estriadas junto con escopetas de caza. Las opciones a, c y d yerran al permitir cualquier número de armas o dar cifras de 50 o 20 que incumplen el reglamento.
95;Conocimientos Generales;Reglamento de Explosivos;La alambrada de espino de parte superior del cerramiento de fábrica de explosivos estará inclinada hacia exterior...;30° respecto a la vertical;60° respecto a la vertical;25° respecto a la vertical;45° respecto a la vertical;4;La respuesta correcta es la d, pues la alambrada superior del cerramiento de fábricas de explosivos debe estar inclinada 45 respecto a la vertical. Las opciones a, b y c proponen inclinaciones de 30, 60 o 25 que no cumplen el estándar de seguridad.
96;Conocimientos Generales;Reglamento de Explosivos - Transporte por carretera;En relación con paradas de transporte de explosivos por carretera, señale opción INCORRECTA.;Paradas por necesidades del servicio no se efectuarán en proximidad de lugares habitados;Se evitará atravesar poblaciones y pasar por zonas de gran densidad, debiendo cumplir normas e itinerarios de mercancías peligrosas;Lugares de parada se escogerán en áreas situadas a 1.000 metros, como mínimo, de núcleos de población;Antes de abandonar cabina, tripulación se asegurará de que motor esté parado, cambio en posición segura y frenos accionados;3;"La respuesta correcta es la c, porque es la proposición incorrecta; los lugares de parada de explosivos deben estar a 500 metros de núcleos poblacionales, no a 1.000. Las opciones a, b y d reflejan correctamente las medidas de seguridad sobre paradas y abandono de cabina."
97;Conocimientos Generales;LO represión del contrabando;¿Cuál de las siguientes opciones NO es una de las circunstancias que se considerará principalmente un medio fraudulento en comisión de infracción de contrabando?;El empleo de justificantes falseados;La utilización de medios, modos o formas que indiquen una planificación del contrabando;La existencia de cualquier anomalía en la contabilidad;El empleo de facturas falsas;3;La respuesta correcta es la c, ya que cualquier anomalía en la contabilidad no se lista como una de las circunstancias principales de medio fraudulento. Las opciones a, b y d sí son medios fraudulentos: justificantes falseados, planificación del contrabando o facturas falsas.
98;Conocimientos Generales;RD infracciones administrativas de contrabando;¿Quién es competente para acordar cierre de establecimientos por infracciones administrativas de contrabando relacionadas con labores del tabaco?;El Administrador de Aduanas e Impuestos Especiales;El Jefe de Dependencia de Aduanas e Impuestos Especiales;El Interventor de Territorio Franco;El Director del Departamento de Aduanas e Impuestos Especiales de la AEAT;4;La respuesta correcta es la d, puesto que el Director del Departamento de Aduanas es el competente para cerrar establecimientos por contrabando de tabaco. Las opciones a, b y c atribuyen esta competencia a administradores o jefes de dependencia sin potestad legal para ello.
99;Conocimientos Generales;Reglamento Código Aduanero de la Unión;Se entenderá por _____ el acto por el que una persona informa a autoridades aduaneras, en forma y modo establecidos y dentro de plazo concreto, de que determinadas mercancías van a entrar en territorio aduanero de la Unión.;Declaración sumaria de entrada;Declaración de entrada en aduana;Declaración de entrada en régimen aduanero;Declaración en aduana;1;La respuesta correcta es la a, debido a que la declaración sumaria de entrada es el acto de informar a las autoridades de la entrada de mercancías en territorio aduanero. Las opciones b, c y d utilizan términos aduaneros de entrada que no corresponden a la definición de 'sumaria'.
100;Conocimientos Generales;Reglamento Código Aduanero de la Unión;¿Cuál de los siguientes NO es un régimen especial?;El depósito aduanero;El tránsito interno;El perfeccionamiento pasivo;La exportación;4;La respuesta correcta es la d, ya que la exportación no se clasifica como un régimen especial en el Código Aduanero de la Unión. Las opciones a, b y c son regímenes especiales definidos legalmente como el depósito aduanero, tránsito interno o perfeccionamiento pasivo.
101;Conocimientos Generales;Constitución Española - Estado de Excepción;¿Cuál de los siguientes derechos NO puede ser suspendido durante el estado de excepción según el Artículo 55.1 de la Constitución?;El derecho a sindicarse libremente;La inviolabilidad del domicilio;El derecho a la huelga y adopción de medidas de conflicto colectivo;La libertad de expresión;1;La respuesta correcta es la a, ya que el derecho a sindicarse libremente no se encuentra entre los derechos cuya suspensión está permitida durante el estado de excepción según el Artículo 55.1 de la Constitución. Las opciones b, c y d son incorrectas porque la inviolabilidad del domicilio, el derecho a la huelga/conflicto colectivo y la libertad de expresión sí pueden ser suspendidos bajo este régimen excepcional.
102;Conocimientos Generales;Tratado Unión Europea;En relación con la participación democrática en la UE, señale la proposición INCORRECTA.;Los ciudadanos están directamente representados en el Parlamento Europeo;Los Estados miembros están representados en el Consejo por su Jefe de Estado o de Gobierno;Los ciudadanos tienen derecho a participar en la vida democrática de la Unión;La Comisión mantendrá consultas amplias con las partes interesadas;2;"La respuesta correcta es la b, pues es la proposición incorrecta al afirmar que los Estados miembros están representados en el Consejo por su Jefe de Estado o de Gobierno; en dicha institución, la representación es a nivel ministerial. Las opciones a, c y d son afirmaciones correctas sobre la representación directa en el Parlamento Europeo, el derecho de participación ciudadana y el deber de consulta de la Comisión."
103;Conocimientos Generales;LO Defensor del Pueblo;El Defensor del Pueblo será elegido por las Cortes Generales para un período de...;Tres años;Cuatro años;Cinco años;Seis años;3;La respuesta correcta es la c, debido a que la Ley Orgánica 3/1981 establece que el Defensor del Pueblo será elegido por las Cortes Generales para un periodo de cinco años. Las opciones a, b y d proponen duraciones de tres o cuatro años que no coinciden con el mandato legal establecido para este alto comisionado.
104;Conocimientos Generales;Ley Régimen Jurídico Sector Público;Si el acto administrativo fuera expreso, el plazo para interponer el recurso potestativo de reposición será de...;Diez días;Un mes;Dos meses;Tres meses;2;La respuesta correcta es la b, ya que, si el acto administrativo fuera expreso, el plazo para interponer el recurso potestativo de reposición es de un mes. Las opciones a, c y d son incorrectas porque los plazos de diez días, dos meses o tres meses corresponden a otros trámites procesales o supuestos de silencio administrativo.
105;Conocimientos Generales;Ley Enjuiciamiento Criminal;En relación con el auto de entrada y registro en lugar cerrado, señale la proposición INCORRECTA.;Expresará el lugar o lugares que hayan de ser registrados;Determinará la autoridad que haya de practicar la diligencia;En casos de urgencia, el auto podrá carecer de fundamentación;Se ejecutará durante las horas del día, salvo casos excepcionales;3;"La respuesta correcta es la c, puesto que es la proposición incorrecta; la Ley de Enjuiciamiento Criminal exige que el auto de entrada y registro sea siempre fundado, sin excepción para casos de urgencia. Las opciones a, b y d reflejan correctamente los requisitos formales del auto: determinación del lugar, autoridad encargada y limitación horaria."
